Restaurant_Name,Locality,Cuisines,Average_Cost_for_two,Restaurant_Url,City,Address,Available_Time,Contact_Number,Dining_Ratings,Dining_Votes,Delivery_Ratings,Delivery_Votes
Hot Pizza Place,"Barra, Kanpur","Pizza, Burger, Fast Food, Chinese, Shake, Beverages",₹400 for two,https://www.zomato.com/kanpur/hot-pizza-place-barra/info,Kanpur,"Shop 16, KDA Market, Near Indian Bank, Barra, Kanpur","12midnight – 1am, 10:30am – 12midnight",+917081000501,3.8,16,3.9,514
Parkside,"Mall Road, Kanpur","Asian, Chinese, North Indian, Fast Food, Desserts, Beverages","₹1,800 for two",https://www.zomato.com/kanpur/parkside-mall-road/info,Kanpur,"Directorate Pavillion, Green Park Civil Lines, Mall Road, Kanpur",12:30pm – 11pm,+919924117414,3.0,23,3.8,131
Burger King,"Z Square Mall, Mall Road, Kanpur","Burger, Fast Food, Beverages",₹300 for two,https://www.zomato.com/kanpur/burger-king-mall-road/info,Kanpur,"Unit T-2, 3rd Floor, Z Square Shopping Mall, Mall Road, Kanpur",11am – 11pm,+919324944781,4.1,384,4.2,14.1K
Khidmat By GGH,"Phoolbagh, Kanpur","North Indian, Continental, Italian, Salad, Chinese, Mughlai, Cafe, Desserts","₹1,600 for two",https://www.zomato.com/kanpur/khidmat-by-ggh-phoolbagh/info,Kanpur,"18/174-175, Kursawan, Phoolbagh, Kanpur",12noon – 12midnight,+919696102709,4.1,66,4.0,50
Gin N Ginger,"Mall Road, Kanpur","Fast Food, North Indian, Chinese, Desserts, Oriental, Rolls, Continental, Italian",₹800 for two,https://www.zomato.com/kanpur/gin-n-ginger-mall-road/info,Kanpur,"15/198A, Bikramjit Singh Road, Civil Lines, Mall Road, Kanpur",12noon – 11pm,+919336857572,3.9,32,4.2,509
Hyde,"Nawab Ganj, Kanpur","North Indian, Continental, Chinese, Beverages, Healthy Food, Bar Food",₹800 for two,https://www.zomato.com/kanpur/hyde-nawab-ganj/info,Kanpur,"3/1, Vinayak Shree, Mainwati Marg, Nawab Ganj, Kanpur",12:30pm – 11:15pm,+917619991717,4.1,62,3.3,97
Mithas,"Swaroop Nagar, Kanpur","Mithai, Fast Food, Street Food, South Indian",₹250 for two,https://www.zomato.com/kanpur/mithas-swaroop-nagar/info,Kanpur,"7/1081, Near Khanna Motor, Swaroop Nagar, Kanpur",8am – 10pm,+917311109996,4.4,724,4.2,19.6K
Shri Ram Bhojnalay And Restaurant,"Kidwai Nagar Market, Kanpur","North Indian, South Indian, Chinese, Fast Food, Pizza",₹350 for two,https://www.zomato.com/kanpur/shri-ram-bhojnalay-and-restaurant-kidwai-nagar-market/info,Kanpur,"111/4, Near Shote Baba Mandir, Kidwai Nagar Market, Kanpur",11:45am – 11:30pm,+919334716946,3.6,13,4.0,"1,203"
The Central Courtyard,"Swaroop Nagar, Kanpur","Italian, North Indian, Continental, Fast Food, Pizza, Burger, Desserts, Beverages",₹500 for two,https://www.zomato.com/kanpur/the-central-courtyard-swaroop-nagar/info,Kanpur,"112/350, Block C, Plot 400, Gutaiya, Nagar Nigam Food Safety Zone 16, Swaroop Nagar, Kanpur",1pm – 11:15pm,+919151288798,3.9,153,3.6,149
Godown Cafe,"Saket Nagar, Kanpur","Cafe, Coffee, Chinese, Burger, Waffle, Fast Food, Shake, Beverages",₹600 for two,https://www.zomato.com/kanpur/godown-cafe-saket-nagar/info,Kanpur,"181-182, W Block, Keshav Nagar, Saket Nagar, Kanpur",12:30pm – 11:30pm,+917000382944,3.0,11,4.0,232
