Restaurant_Name,Locality,Cuisines,Average_Cost_for_two,Restaurant_Url,City,Address,Available_Time,Contact_Number,Dining_Ratings,Dining_Votes,Delivery_Ratings,Delivery_Votes
Soul- The Sky Lounge,"Camac Street Area, Kolkata","North Indian, Chinese, Thai, Sandwich, Pizza, Beverages, Continental","₹1,800 for two",https://www.zomato.com/kolkata/soul-the-sky-lounge-camac-street-area/info,Kolkata,"4A Nandalal Basu Sarani Camac Street Area, Kolkata",12noon – 12midnight,"+919831436818,+913346003869",4.4,928,4.1,56
The Daily,"Desapriya Park, Kolkata","Cafe, Italian, Continental, Fast Food, Pancake, Desserts, Beverages, Coffee","₹1,100 for two",https://www.zomato.com/kolkata/the-daily-desapriya-park/info,Kolkata,"5, Satyen Dutta Road, Desapriya Park, Kolkata",12noon – 10:30pm,+918017099950,3.9,628,4.1,"2,295"
Wabi Sabi,"Southern Avenue, Kolkata","Burmese, North Indian, Italian, Thai, Chinese, Beverages, Shake",₹800 for two,https://www.zomato.com/kolkata/wabi-sabi-southern-avenue/info,Kolkata,"10, Dr. Sarat Banerjee Road, Southern Avenue, Kolkata",11:45am – 10pm,"+913340013578,+919830620072,+919903895372",4.3,"1,162",3.9,796
Bunosilo Estate Coffee Roasters,"Ballygunge, Kolkata","Continental, Cafe, Desserts, Beverages","₹1,100 for two",https://www.zomato.com/kolkata/bunosilo-estate-coffee-roasters-ballygunge/info,Kolkata,"29/6, Ballygunge Park Road, Ballygunge, Kolkata",8:15am – 9:45pm,"+917980855310,+917044667841",4.3,505,4.0,470
Sonargaon - Taj Bengal,"Taj Bengal, Alipore, Kolkata","North Indian, Bengali, Desserts, Beverages","₹4,500 for two",https://www.zomato.com/kolkata/sonargaon-taj-bengal-alipore/info,Kolkata,"34B, Belvedere Road, Alipore, Kolkata","12:30pm – 3pm, 7pm – 11:30pm","+913366123939,+913322233939",4.4,741,-,0
Barkaas Arabic Restaurant,"Park Street Area, Kolkata","Arabian, Mandi, Lebanese, Kebab, Mughlai, North Indian, Desserts, Beverages","₹1,000 for two",https://www.zomato.com/kolkata/barkaas-arabic-restaurant-1-park-street-area/info,Kolkata,"147, Park Street Area, Kolkata",1pm – 11:45pm,+917439984415,4.0,241,3.9,"1,827"
Across The Street,"New Town, Kolkata","North Indian, Chinese, Mughlai, Kebab","₹1,000 for two",https://www.zomato.com/kolkata/across-the-street-new-town/info,Kolkata,"Chakpachuria, New Town, Kolkata","12midnight – 1:30am, 12:30pm – 12midnight","+919903677567,+918436086874",3.8,29,4.0,25
Snack On Sushi,"Ballygunge, Kolkata","Sushi, Asian, Japanese","₹1,100 for two",https://www.zomato.com/kolkata/snack-on-sushi-ballygunge/info,Kolkata,"3/2, Baman Para Lane, Ballygunge, Kolkata",12noon – 10pm,+919903726550,4.7,275,4.1,688
Nest - Howard Johnson,"Howard Johnson, Chinar Park, Kolkata","Bengali, North Indian, Chinese, Biryani, Desserts","₹1,400 for two",https://www.zomato.com/kolkata/nest-howard-johnson-chinar-park/info,Kolkata,"RGM, Atghara, New Town Square, New Town Road, Chinar Park, Kolkata",7am – 10pm,"+919163433000,+917604011008",4.1,626,3.9,285
Biryani By Kilo,"Sector 5, Salt Lake, Kolkata","Biryani, Hyderabadi, Kebab, North Indian, Ice Cream, Desserts",₹600 for two,https://www.zomato.com/kolkata/biryani-by-kilo-sector-5-salt-lake/info,Kolkata,"DN 11, Ground Floor, Bidhannagar, Sector 5, Salt Lake, Kolkata",11am – 9pm,18002122212,4.1,260,4.0,"6,233"
German Cafe & Bistro,"Axis Mall, New Town, Kolkata","Cafe, Italian, Continental, Oriental, European, Sandwich, Salad, Fast Food",₹950 for two,https://www.zomato.com/kolkata/german-cafe-bistro-new-town/info,Kolkata,"Ground Floor, Axis Mall, CF-9, Action Area 1, New Town, Kolkata",9am – 10:15pm,+919831905544,4.0,192,4.1,429
Maya Bar & Lounge,"Esplanade, Kolkata","Continental, Chinese","₹1,000 for two",https://www.zomato.com/kolkata/maya-bar-lounge-esplanade/info,Kolkata,"1st Floor, Hotel Majestic, 4C, Madan St, Esplanade, Chandni Chawk, Bowbazar, Kolkata, West Bengal 700072, Kolkata, Esplanade, Kolkata",12noon – 11:45pm,+918777292287,New,6,-,0
Cafe Joy- Novotel,"Novotel, New Town, Kolkata","Burger, Coffee, Pizza, Fast Food, Italian, Desserts, Ice Cream, Beverages","₹2,000 for two",https://www.zomato.com/kolkata/cafe-joy-novotel-new-town/info,Kolkata,"CF 11, Action Area 1C, New Town, Kolkata",8am – 11:30pm,+918584077055,3.7,9,-,0
Yalla Habibi,"Park Circus Area, Kolkata","North Indian, Chinese, Pizza, Mughlai, Fast Food, Biryani, Desserts, Beverages","₹1,200 for two",https://www.zomato.com/kolkata/yalla-habibi-park-circus-area/info,Kolkata,"22, Circus Avenue, Park Circus Area, Kolkata",12noon – 11:45pm,+919007584144,3.9,13,4.0,11
Rajputana Darbar,"New Town, Kolkata","North Indian, Chinese, Seafood, Biryani, Mughlai, Rolls, Desserts","₹1,500 for two",https://www.zomato.com/kolkata/rajputana-darbar-new-town/info,Kolkata,"DGK 204, 2nd Floor, DLF The Galleria, Action Area 1B, New Town, Kolkata",11:45am – 11:45pm,+91 8068974776,New,16,New,1
Bunaphile,"Hindustan Park, Kolkata","Cafe, Fast Food, Continental, Salad, Beverages, Coffee, Shake",₹850 for two,https://www.zomato.com/kolkata/bunaphile-1-hindustan-park/info,Kolkata,"72, Hindustan Park, Kolkata",7am – 11pm,+919903467402,3.0,335,4.0,201
Hotel Broadway,"Chandni Chowk, Kolkata","North Indian, Chinese, Finger Food","₹1,200 for two",https://www.zomato.com/kolkata/hotel-broadway-chandni-chowk/info,Kolkata,"27A, Ganesh Chandra Avenue, Chandni Chowk, Kolkata",11am – 10:30pm,"+913322113080,+913322363930",4.3,443,-,0
