Restaurant_Name,Locality,Cuisines,Average_Cost_for_two,Restaurant_Url,City,Address,Available_Time,Contact_Number,Dining_Ratings,Dining_Votes,Delivery_Ratings,Delivery_Votes
Bond HQ - Sayaji Hotel,"Shankar Nagar, Raipur",Finger Food,"₹2,000 for two",https://www.zomato.com/raipur/bond-hq-sayaji-hotel-shankar-nagar/info,Raipur,"Sayaji Hotel, Near Magneto Mall, Shankar Nagar, Raipur",12noon – 12midnight,+917714344444,4.4,20,-,0
Biryani Inn,"Moudhapara, Raipur","Biryani, Chinese, North Indian, Street Food, Mughlai",₹500 for two,https://www.zomato.com/raipur/biryani-inn-moudhapara/info,Raipur,"Station Road, Moudhapara, Raipur",12noon – 11:30pm,+919131777011,3.9,90,3.3,93
Haldiram's Sweets and Namkeen,"Magneto Mall, Shankar Nagar, Raipur","Mithai, North Indian, Street Food, Desserts",₹300 for two,https://www.zomato.com/raipur/haldirams-sweets-and-namkeen-purena/info,Raipur,"Shop GF 36, Magneto The Mall, Labhandi, Purena, Raipur",8am – 10:30pm,+917030000146,-,1,4.3,138
P Hotel Bhagat Tarachand,"Devendra Nagar, Raipur","North Indian, Chinese, Beverages",₹500 for two,https://www.zomato.com/raipur/p-hotel-bhagat-tarachand-devendra-nagar/info,Raipur,"C 26/27, IGVP, Opposite City Center Mall, Pandri, Devendra Nagar, Raipur","11am – 4pm, 7pm – 11pm",+919685778585,4.1,212,3.8,"1,444"
Dawat - Hotel Puneet International,"Govind Nagar, Raipur","North Indian, Chinese, Mughlai, Biryani, Beverages",₹800 for two,https://www.zomato.com/raipur/dawat-hotel-puneet-international-govind-nagar/info,Raipur,"Pandri Cloth Market, Pandri, Opposite Bank Of Baroda, Govind Nagar, Raipur",8am – 11pm,"+917714004406,+917000303317,+918085844452",3.8,22,3.8,405
Indian Coffee House,"Civil Lines, Raipur","Chinese, Fast Food, North Indian, South Indian",₹500 for two,https://www.zomato.com/raipur/indian-coffee-house-civil-lines/info,Raipur,"Raipur, Civil Lines, Raipur",8am – 11pm,"+917712437728,+919827198271",4.2,179,-,0
Cafe Oriza - Hyatt Raipur,"Hyatt Raipur, Raipur","North Indian, Continental, Chinese, Mexican, Thai, Beverages","₹2,000 for two",https://www.zomato.com/raipur/cafe-oriza-hyatt-raipur-shankar-nagar/info,Raipur,"Hyatt Raipur, Magneto The Mall, NH 6, Labhandi, Shankar Nagar, Raipur",10am – 10pm,"+917714241234,+919903147530",4.1,77,4.2,84
Gwala Dairy & Sweets,"Purena, Raipur","South Indian, North Indian, Street Food, Beverages",₹200 for two,https://www.zomato.com/raipur/gwala-dairy-sweets-purena/info,Raipur,"Shop 1/2, Ram Bagh, VIP Road, Opposite Of Ram Mandir, Purena, Raipur",9:30am – 10pm,+916267493681,3.9,12,-,3
Seven Spices,"Mowa, Raipur","North Indian, Oriental, Continental, South Indian, Chinese, Beverages, Desserts","₹1,000 for two",https://www.zomato.com/raipur/seven-spices-mowa/info,Raipur,"C 25/26/27, EDGE Complex, Vidhansabha Road, Mowa, Raipur",10am – 10pm,+919617055666,-,1,4.0,15
KGN Chicken Corner & Biryani Center,"Mowa, Raipur","Biryani, Roast Chicken, North Indian",₹300 for two,https://www.zomato.com/raipur/kgn-chicken-corner-biryani-center-mowa/info,Raipur,"Near Jabbar Naala Main Road, Mowa, Raipur",12noon – 10pm,+919977229363,3.1,45,3.8,"1,303"
Eatly,"Shankar Nagar, Raipur","Chinese, Fast Food, Beverages, Sichuan",₹300 for two,https://www.zomato.com/raipur/eatly-shankar-nagar/info,Raipur,"Pairee House 01, Shankar Nagar, Raipur",11am – 11pm,+917000752616,3.7,11,4.3,77
Galaxy Food Centre,"Amanaka, Raipur","North Indian, Chinese, Rolls, Mughlai, Fast Food",₹250 for two,https://www.zomato.com/raipur/galaxy-food-centre-4-amanaka/info,Raipur,"Ward 12, Mahatama Gandhi Ward, Dharsiwa, Amanaka, Raipur",10:45am – 11pm,+919163300470,3.5,8,4.1,296
Yaaran Da Adda,"Civil Lines, Raipur",North Indian,₹300 for two,https://www.zomato.com/raipur/yaaran-da-adda-civil-lines/info,Raipur,"Kenal Road, Mini Marine Drive, Katora Talab Chouparty, Near Civil Lines, Civil Lines, Raipur",11am – 11pm,+918770667414,3.0,15,3.9,"5,010"
Naivedya,"Moudhapara, Raipur",North Indian,₹900 for two,https://www.zomato.com/raipur/naivedya-moudhapara/info,Raipur,"Near Phool Chowk, Great Eastern Road, Moudhapara, Raipur",Opens at 7pm,+919770066605,3.8,59,-,0
Sardarji Da Kitchen,"Mahaveer Nagar, Raipur","North Indian, Mughlai, Chinese, Continental, Fast Food, Kebab, Desserts, Beverages","₹1,200 for two",https://www.zomato.com/raipur/sardarji-da-kitchen-mahaveer-nagar/info,Raipur,"Telibandha, Near We Care Hospital, Mahaveer Nagar, Raipur",1:30pm – 3am,+919039297717,3.0,10,3.7,548
Hardey's Recipe - Hotel Venkatesh International,"Samta Colony, Raipur","North Indian, Fast Food, Chinese, Biryani",₹700 for two,https://www.zomato.com/raipur/hardeys-recipe-hotel-venkatesh-international-samta-colony/info,Raipur,"Phool Chowk, Samta Colony, Raipur",9am – 11pm,"+917714011110,+919200007154",4.1,48,3.8,"1,656"
The Burger Company,"Samta Colony, Raipur",Burger,₹300 for two,https://www.zomato.com/raipur/the-burger-company-samta-colony/info,Raipur,"Ram Sagar Para, Near Sachdeva Nursing Home, Samta Colony, Raipur",10am – 10pm,+916264816231,-,3,4.2,100
