Restaurant_Name,Locality,Cuisines,Average_Cost_for_two,Restaurant_Url,City,Address,Available_Time,Contact_Number,Dining_Ratings,Dining_Votes,Delivery_Ratings,Delivery_Votes
WelcomCafe Oceanic - WelcomHotel Grand Bay,"Welcomhotel By ITC Hotels, Devee Grand Bay, Vizag","North Indian, Oriental, Italian, Seafood, Desserts, Beverages","₹2,500 for two",https://www.zomato.com/visakhapatnam/welcomcafe-oceanic-welcomhotel-grand-bay-maharani-peta-vizag/info,Visakhapatnam,"WelcomHotel Grand Bay, Beach Road, Near, Maharani Peta, Vizag",7am – 12midnight,+918916600101,3.9,70,-,0
Eaters Stop,"Dwaraka Nagar, Vizag","South Indian, North Indian",₹500 for two,https://www.zomato.com/visakhapatnam/eaters-stop-dwaraka-nagar-vizag/info,Visakhapatnam,"49-53-1/3/6, Balayya Sastry Layout, MPLCorporation, Dwaraka Nagar, Vizag",6am – 11pm,+916309866688,3.6,61,4.3,35.7K
Delicacies Restaurant,"MVP Colony, Vizag","Andhra, North Indian, Mughlai, Chinese, Seafood, Biryani, Desserts","₹1,000 for two",https://www.zomato.com/visakhapatnam/delicacies-restaurant-mvp-colony-vizag/info,Visakhapatnam,"Plot 2, Sector 1, Near Andhra Bank, MVP Colony, Vizag",Opens at 10:30am,"+918912538361,+919848534965",3.9,673,-,0
Cascades,"Dolphin Hotel, Jagadamba Junction , Vizag","North Indian, Continental, Chinese, South Indian, Andhra, Kebab, Biryani, Desserts","₹1,000 for two",https://www.zomato.com/visakhapatnam/cascades-jagadamba-junction-vizag/info,Visakhapatnam,"Dolphin Hotel, 75 Feet Road, Daba Gardens, Besides Saraswati Park, Jagadamba Junction, Visakhapatnam, Jagadamba Junction, Vizag",7am – 12midnight,+918916666677,3.7,143,-,0
4 Seasons,"Asilmetta, Vizag","Pizza, Chinese, Fast Food, Biryani, Sandwich, Belgian",₹550 for two,https://www.zomato.com/visakhapatnam/4-seasons-asilmetta-vizag/info,Visakhapatnam,"Door 10-1-12, Krishna Kamal Enclave, Asilmetta, Vizag",Opens at 10am,+918916620068,4.0,155,3.8,"3,553"
Breadway,"Madhavadhara, Vizag","Bakery, Desserts, Waffle, Pancake, Fast Food, Beverages",₹300 for two,https://www.zomato.com/visakhapatnam/breadway-madhavadhara-vizag/info,Visakhapatnam,"39-14-11 1, Visakhapatnam, Madhavadhara, Vizag",Opens at 10:30am,+918074145140,3.9,9,4.4,123
House Of Dosas,"Kirlampudi Layout, Vizag","South Indian, Street Food, North Indian",₹300 for two,https://www.zomato.com/visakhapatnam/house-of-dosas-1-kirlampudi-layout-vizag/info,Visakhapatnam,"7-19-3, Ground Floor, Flat 101, Apex Orion Bay, Kirlampudi Layout, Vizag",7am – 9pm,+917995013135,3.4,32,4.5,"1,806"
Pizza Hut,"MVP Colony, Vizag","Pizza, Fast Food, Desserts, Beverages",₹600 for two,https://www.zomato.com/visakhapatnam/pizza-hut-mvp-colony-vizag/info,Visakhapatnam,"Door HIG 2/3, Plot 1-83-13, Peda Waltair, Sector-3, MVP Colony, Vizag",Opens at 10am,+918914824515,3.9,58,3.9,"3,703"
Ramaiah Vegetarian Meals,"Allipuram, Vizag","Andhra, South Indian",₹200 for two,https://www.zomato.com/visakhapatnam/ramaiah-vegetarian-meals-allipuram-vizag/info,Visakhapatnam,"30-15-165, Daba Gardens, D-Square Building, Allipuram, Vizag",9am – 10pm,+919295066521,4.3,302,3.9,"5,690"
Ironhill Brewery,"Siripuram, Vizag","North Indian, Asian, Italian, South Indian, Fast Food, Salad, Desserts","₹1,400 for two",https://www.zomato.com/visakhapatnam/ironhill-brewery-2-siripuram-vizag/info,Visakhapatnam,"9-30-1, Plot 25, 1st Floor, Near PMJ Jewellers, Siripuram, Vizag",Opens at 12noon,"+918977767676,18002082277,+919606044623",4.3,560,4.1,459
