Restaurant_Name,Locality,Cuisines,Average_Cost_for_two,Restaurant_Url,City,Address,Available_Time,Contact_Number,Dining_Ratings,Dining_Votes,Delivery_Ratings,Delivery_Votes
Kafe Biryani Corner,"Kuvempunagar, Mysore","Biryani, North Indian, Chinese, Sichuan",₹700 for two,https://www.zomato.com/mysore/kafe-biryani-corner-kuvempunagar/info,Mysore,"26, Near A to Z Supermarket, Divya Complex, Vishwamanawa Double Road, Kuvempunagar, Mysore",11am – 11pm,+917090088880,4.3,760,4.2,49.9K
RRR Amaravathi Restaurant,"Doora, Mysore","North Indian, Chinese, Biryani",₹350 for two,https://www.zomato.com/mysore/rrr-amaravathi-restaurant-doora/info,Mysore,"26, N 73/1A, N 26/1/B, 73/1B N, Bazar Road, Nazarbad Mohalla, Doora, Mysore",12noon – 10:30pm,+918904211065,-,2,3.1,17
The Lemon Three,"Kuvempunagar, Mysore","Arabian, Biryani, Beverages, North Indian, Chinese, Shake, Sichuan",₹500 for two,https://www.zomato.com/mysore/the-lemon-three-kuvempunagar/info,Mysore,"Vishwamanava Double Road, Hudco 1st Stage, Kuvempunagar, Mysore",12noon – 11pm,+917411122833,3.9,457,3.9,22.7K
Purple Haze,"Vijay Nagar, Mysore","North Indian, Mughlai",₹300 for two,https://www.zomato.com/mysore/purple-haze-vijay-nagar/info,Mysore,"129-131, 2nd Stage, High Tension Double Road, Vijay Nagar, Mysore",11am – 11pm,+919972832779,3.9,324,4.3,180
#Fruitbae,"Jayalakhsmipuram, Mysore","Shake, Juices, Healthy Food, Desserts, Beverages",₹400 for two,https://www.zomato.com/mysore/fruitbae-jayalakhsmipuram/info,Mysore,"2996/1, D1/1, 2996/6, D1/6, 7th Cross, Adipamba Road, Jayalakhsmipuram, Mysore",12noon – 12:30am,+919562002244,-,1,4.1,341
H Cube Cafe And Restaurant,"Vijay Nagar, Mysore","Cafe, North Indian, Biryani, Chinese, Seafood, Fast Food, Ice Cream, Beverages","₹1,000 for two",https://www.zomato.com/mysore/h-cube-cafe-and-restaurant-vijay-nagar/info,Mysore,"422, 3rd Floor, 1st Stage, 6th Main Road, Vijay Nagar, Mysore",11am – 12midnight,+918088999899,-,1,3.6,36
Maurya Veg,"Jayalakhsmipuram, Mysore",Chinese,₹300 for two,https://www.zomato.com/mysore/maurya-veg-2-jayalakhsmipuram/info,Mysore,"19/A, 4th Block, Temple Road, Jayalakhsmipuram, Mysore",11:30am – 11pm,+918105887346,3.9,4,-,0
Mysore Dhonne Biriyani,"Kuvempunagar, Mysore","Kebab, Chinese, Biryani, North Indian, Sichuan",₹500 for two,https://www.zomato.com/mysore/mysore-dhonne-biriyani-kuvempunagar/info,Mysore,"2961/55, Ch 19, 3rd Cross, 5th Main, Behind JSS Women's College, Saraswathipuram, Kuvempunagar, Mysore",11am – 11pm,"+917204004500,+919343779974",3.9,175,4.3,"8,078"
TKS Iyengars,"Gokulam, Mysore",South Indian,₹200 for two,https://www.zomato.com/mysore/tks-iyengars-gokulam/info,Mysore,"3011/A1, D-26/1A, VV Mohalla, 1st Main, Gokulam Park Road, Near Mahanagar Palike III Circle, Gokulam, Mysore",Opens tomorrow at 5pm,+919108190955,4.3,163,4.3,15.5K
Chings Chinese Corner,"Jayalakhsmipuram, Mysore","Chinese, Sichuan",₹300 for two,https://www.zomato.com/mysore/chings-chinese-corner-jayalakhsmipuram/info,Mysore,"Shop 2, 3125, Meena Bazaar, Jayalakhsmipuram, Mysore",10:30am – 12midnight,+919483288660,3.7,42,3.1,287
