Restaurant_Name,Locality,Cuisines,Average_Cost_for_two,Restaurant_Url,City,Address,Available_Time,Contact_Number,Dining_Ratings,Dining_Votes,Delivery_Ratings,Delivery_Votes
De'licious - Hotel Royale De Casa,"Hotel Royal De Casa, Beltola, Guwahati","North Indian, Continental, Chinese, Seafood, Shake, Sichuan, Biryani, Kebab","₹2,000 for two",https://www.zomato.com/guwahati/delicious-hotel-royale-de-casa-beltola/info,Guwahati,"Hotel Royal De Casa, Wireless, Beltola- Basistha Road, Beltola, Guwahati",7:30am – 10:30pm,"+913612220031,+913612223350",4.0,27,4.1,174
Lajeez,"Narengi Tinali, Guwahati","North Indian, Chinese, Rolls, Sichuan",₹400 for two,https://www.zomato.com/guwahati/lajeez-narengi-tinali/info,Guwahati,"Opposite UCO Bank, Narengi Tinali, Guwahati",Opens tomorrow at 10:30am,+919854272081,3.4,55,4.0,"8,662"
Desi Kitchen,"Hatigaon, Guwahati","North Indian, Chinese, Fast Food",₹500 for two,https://www.zomato.com/guwahati/desi-kitchen-hatigaon/info,Guwahati,"SB Complex, Bishnujyoti Path, Bhetapara, Chariali, Hatigaon, Guwahati",9am – 10:30pm,"+918399995792,+916901314157",3.3,27,4.2,"3,677"
Regal Multi Cuisine Restaurant,"Maligaon, Guwahati","Chinese, North Indian, South Indian","₹1,000 for two",https://www.zomato.com/guwahati/regal-multi-cuisine-restaurant-maligaon/info,Guwahati,"Sree Krishna Tower, Near SBOA School, Maligaon, Guwahati",Opens tomorrow at 12:15pm,+916900440959,3.9,15,4.0,11
Rabha Hotel,"Ganeshguri, Guwahati","Assamese, North Indian, Mughlai",₹350 for two,https://www.zomato.com/guwahati/rabha-hotel-ganeshguri/info,Guwahati,"House 9, Japorogog, Gahorikata Chowk, Ganeshguri, Guwahati",11am – 11:30pm,+919101080801,-,2,3.9,390
Yatai Food Cart,"Zoo Tiniali, Guwahati","Japanese, North Indian",₹350 for two,https://www.zomato.com/guwahati/yatai-food-cart-zoo-tiniali/info,Guwahati,"House 24, Pinaki Path, Opposite New Brindavan Garden, Zoo Tiniali, Guwahati",Opens on Tuesday at 12noon,+918777237083,3.8,107,4.1,629
JB Restaurant,"Jalukbari, Guwahati","Biryani, North Indian",₹350 for two,https://www.zomato.com/guwahati/jb-restaurant-jalukbari/info,Guwahati,"Near Jalukbari Flyover, Jalukbari, Guwahati",Opens tomorrow at 10:30am,+917002637151,3.5,27,3.6,"1,693"
Suresh Dhaba,"Beltola, Guwahati",North Indian,₹200 for two,https://www.zomato.com/guwahati/suresh-dhaba-beltola/info,Guwahati,"Basistha Chariali Near Oja Hyundai Showroom,, NH 37, Beltola, Guwahati",11am – 12midnight,+919864064463,3.8,65,4.3,"6,081"
Hotel Millennium,"Hotel Millennium, Athgaon, Guwahati","North Indian, Italian, Chinese",₹600 for two,https://www.zomato.com/guwahati/hotel-millennium-bharalumukh/info,Guwahati,"Dhanuka Complex B, Sati Jayamati Road, Athgaon, Near Bharalumukh, Guwahati","10:30am – 3:30pm, 6:30pm – 10:30pm","+913612739057,+919401044444",3.2,31,3.9,459
Three Star Manipuri Rice Hotel,"Paltan Bazaar, Guwahati","North Eastern, Mughlai",₹500 for two,https://www.zomato.com/guwahati/three-star-manipuri-rice-hotel-paltan-bazaar/info,Guwahati,"Near Apsara Cinema Hall, Paltan Bazaar, Guwahati",8am – 11pm,+918011052981,3.9,24,3.4,930
37 Street Affair,"Khanapara, Guwahati","Fast Food, Chinese, Burger, North Indian",₹700 for two,https://www.zomato.com/guwahati/37-street-affair-3-khanapara/info,Guwahati,"92,Bagharbari Tiniali Main Road, Panjabari Road, Khanapara, Guwahati",Opens tomorrow at 11:15am,"+919678684479,+916290931516",4.1,213,4.0,"3,586"
Smoke King BBQ,"Beltola, Guwahati","BBQ, Fast Food, Momos",₹250 for two,https://www.zomato.com/guwahati/smoke-king-bbq-beltola/info,Guwahati,"Kamala Enclave, Tiniali, Beltola, Guwahati",11am – 10:45pm,+917002065463,3.9,4,3.6,270
The X Factor - Mixologist Pub,"Christian Basti, Guwahati","North Indian, Bar Food, Continental, Beverages","₹1,000 for two",https://www.zomato.com/guwahati/the-x-factor-mixologist-pub-christian-basti/info,Guwahati,"2nd Floor, Silver Square Building, Ananda Nagar, GS Road, Christian Basti, Guwahati",Opens tomorrow at 12noon,+916000349407,-,0,4.0,6
Lunar Bar & Restaurant,"Ahomgaon, Guwahati","Bar Food, North Indian, Biryani, Italian, Chinese, Salad, Desserts, Beverages","₹1,200 for two",https://www.zomato.com/guwahati/lunar-bar-restaurant-ahomgaon/info,Guwahati,"5th Floor, NH 37, Subham Square, Ahomgaon, Guwahati",Opens tomorrow at 11am,"+918471846901,+918077301692",New,0,New,0
The Lotus,"Kala Pahar, Guwahati","North Indian, Chinese, Desserts, Mithai, Fast Food, Street Food, Beverages, Shake",₹500 for two,https://www.zomato.com/guwahati/the-lotus-2-kala-pahar/info,Guwahati,"Ground Floor, Mayfair Adagodam, Lokra Road, Kala Pahar, Guwahati",8am – 11pm,+919365305796,3.8,13,3.8,"1,030"
Govind's,"Paltan Bazaar, Guwahati","South Indian, North Indian, Chinese",₹400 for two,https://www.zomato.com/guwahati/govinds-paltan-bazaar/info,Guwahati,"Hotel Mayur, Paltan Bazaar, Guwahati",7am – 10:30pm,+913612734855,3.9,17,-,0
Cafe Karma,"Silpukhuri, Guwahati","Cafe, Continental, Fast Food",₹500 for two,https://www.zomato.com/guwahati/cafe-karma-silpukhuri/info,Guwahati,"19, Digholi Pukhuri East, Uzan Bazar, Lamb Road, Silpukhuri, Guwahati",10am – 11pm,+919864752855,-,0,-,0
Sharma and Sons,"Beltola, Guwahati","Fast Food, Bakery",₹100 for two,https://www.zomato.com/guwahati/sharma-and-sons-beltola/info,Guwahati,"Ground Floor, Megha Plaza, Beltola, Guwahati",Opens tomorrow at 8am,+919954954711,4.0,18,-,0
Centre Point,"Maligaon, Guwahati","North Indian, Momos, Chinese, Sichuan",₹500 for two,https://www.zomato.com/guwahati/centre-point-maligaon/info,Guwahati,"122, Ground Floor, Abhiguna Residency, NH 37, Padumburi, Gotanagar, Maligaon, Guwahati",Opens tomorrow at 11am,+918638650414,3.4,15,4.2,"2,750"
Sweet Cult,"Silpukhuri, Guwahati","Desserts, Waffle, Fast Food, Shake, Beverages",₹500 for two,https://www.zomato.com/guwahati/sweet-cult-silpukhuri/info,Guwahati,"R P Bezbarua Complex, Maniram Dewan Road, Silpukhuri, Guwahati",11am – 12midnight,+917529975852,4.4,140,-,0
El-Firangi,"Silpukhuri, Guwahati","North Indian, Chinese",₹600 for two,https://www.zomato.com/guwahati/el-firangi-silpukhuri/info,Guwahati,"Opposite Guwahati Press Club, Ambari, GNB Road, Silpukhuri, Guwahati",,"+918486113085,+919864033777,+919954636950",3.7,118,3.9,232
Sri Hari's,"Ulubari, Guwahati","North Indian, South Indian, Biryani, Chinese",₹400 for two,https://www.zomato.com/guwahati/sri-haris-1-ulubari/info,Guwahati,"Ground Floor, Ransu Residency, Rehabari, PP Road, Ulubari, Guwahati",Opens tomorrow at 8am,+919531096138,3.8,67,4.0,"2,058"
Robin Cabin,"Fancy Bazaar, Guwahati","North Indian, Chinese, Fast Food, South Indian, Biryani",₹450 for two,https://www.zomato.com/guwahati/robin-cabin-fancy-bazaar/info,Guwahati,"SS Road, Fancy Bazaar, Guwahati",11am – 11pm,+919864065843,3.7,29,4.1,56
TL7 Cafe,"Uzan Bazaar, Guwahati","Chinese, Fast Food, Shake, Rolls, Momos, Salad, Desserts, Pasta",₹500 for two,https://www.zomato.com/guwahati/tl7-cafe-1-uzan-bazaar/info,Guwahati,"27, MC Road, Opposite Uzanbazaar Maas Ghat, Uzan Bazaar, Guwahati",Opens tomorrow at 12noon,+918099082554,3.9,7,4.0,42
Chicken Hut,"Uzan Bazaar, Guwahati","Chinese, Momos, Sichuan, Street Food",₹150 for two,https://www.zomato.com/guwahati/chicken-hut-uzan-bazaar/info,Guwahati,"S.K Bhuyan Road, Dighalipukhuri, Uzan Bazaar, Guwahati",Opens tomorrow at 10am,+919101102268,3.7,26,3.4,"1,641"
The Biryani Kingdum,"Six Mile, Guwahati","Biryani, North Indian, Chinese, Mughlai, Kebab, Beverages, Desserts",₹350 for two,https://www.zomato.com/guwahati/the-biryani-kingdum-1-six-mile/info,Guwahati,"Dipanita Complex, Near Downtown Hospital Gate-2, Six Mile, Guwahati",11:30am – 12midnight,"+917637916767,+917086874049",3.6,11,3.8,430
Soystix,"Uzan Bazaar, Guwahati","Asian, Seafood, Chinese, Japanese, Thai, Salad, Desserts, Beverages","₹1,550 for two",https://www.zomato.com/guwahati/soystix-uzan-bazaar/info,Guwahati,"50, Lamb Road, Latasil, Uzan Bazaar, Guwahati",11:30am – 10:45pm,"+919864023095,+919395913975",-,3,3.8,31
Lets Eat,"Kahilipara, Guwahati","Chinese, North Indian",₹200 for two,https://www.zomato.com/guwahati/lets-eat-kahilipara/info,Guwahati,"Lalganesh, Opposite Vivekananda School, Kahilipara, Guwahati",11am – 12midnight,+919864035695,3.8,13,4.0,"3,578"
