Restaurant_Name,Locality,Cuisines,Average_Cost_for_two,Restaurant_Url,City,Address,Available_Time,Contact_Number,Dining_Ratings,Dining_Votes,Delivery_Ratings,Delivery_Votes
D.F.C. Restaurant,"Summer Hill, Shimla","North Indian, Chinese, Shake",₹300 for two,https://www.zomato.com/shimla/d-f-c-restaurant-summer-hill/info,Shimla,"Near Sood Book Binder, Summer Hill, Shimla",10am – 10pm,Not available for this place,-,0,-,0
Sanjay Fast Food,"Chakkar, Shimla","Fast Food, North Indian",₹400 for two,https://www.zomato.com/shimla/sanjay-fast-food-chakkar/info,Shimla,"Near Wine Shop, Boileauganj, Chakkar, Shimla",8am – 11pm,+918219259522,-,0,-,0
Punjabi Zayaka,"Phagli, Shimla",North Indian,₹300 for two,https://www.zomato.com/shimla/punjabi-zayaka-phagli/info,Shimla,"Khalini, Phagli, Shimla",9am – 10pm,+919418560272,-,0,-,0
Om Sai Fast Food,"Longwood, Shimla","Fast Food, Chinese",₹300 for two,https://www.zomato.com/shimla/om-sai-fast-food-longwood/info,Shimla,"Ram Bazar, Longwood, Shimla",10am – 10pm,+919459090130,-,0,-,0
Silver Oak Restaurant,"Longwood, Shimla","North Indian, Continental",₹800 for two,https://www.zomato.com/shimla/silver-oak-restaurant-longwood/info,Shimla,"Near Tourism Lift, The Mall Road, Longwood, Shimla",7am – 10pm,+919816025758,-,2,-,0
New O.K. Dhaba,"Longwood, Shimla",North Indian,₹200 for two,https://www.zomato.com/shimla/new-o-k-dhaba-longwood/info,Shimla,"Middle Bazaar, The Mall, Longwood, Shimla",9am – 10pm,+911772805613,-,1,-,0
Swadisht Bhojnalya,"Longwood, Shimla",North Indian,₹150 for two,https://www.zomato.com/shimla/swadisht-bhojnalya-longwood/info,Shimla,"18, Lakkar Bazar, Longwood, Shimla",8:30am – 8pm,+918988123047,-,1,-,0
South Spice Kitchen,"Longwood, Shimla","South Indian, Chinese, North Indian, Beverages, Shake, Fast Food",₹300 for two,https://www.zomato.com/shimla/south-spice-kitchen-longwood/info,Shimla,"South Spice Kitchen, Near New Sher E Punjab, Bahang, Longwood, Shimla",7:30am – 11pm,+917620037440,-,0,-,0
Banshira Dhaba,"Longwood, Shimla","North Indian, Chinese, Fast Food, Beverages",₹500 for two,https://www.zomato.com/shimla/banshira-dhaba-longwood/info,Shimla,"Commercial Complex, Near ICICI Bank, SDA Complex Road, Longwood, Shimla",10:30am – 9:30pm,+911772629927,-,1,-,0
The Legacy Hotel,"Longwood, Shimla","North Indian, South Indian, Fast Food, Street Food",₹800 for two,https://www.zomato.com/shimla/the-legacy-hotel-longwood/info,Shimla,"Malhotra Bridge, Longwood, Shimla",11am – 9:30pm,+916230008400,-,0,-,0
Tibetan Dhaba,"Longwood, Shimla","Chinese, Tibetan, Tea, Beverages, Momos",₹300 for two,https://www.zomato.com/shimla/tibetan-dhaba-longwood/info,Shimla,"Krishna Nagar, Cart Road, Longwood, Shimla",10am – 10pm,Not available for this place,-,0,-,0
aOne Restaurant,"Sanjauli, Shimla","North Indian, Chinese, Beverages",₹300 for two,https://www.zomato.com/shimla/aone-restaurant-sanjauli/info,Shimla,"Bypass Road, Near Dhalli Chowk, Sanjauli, Shimla",8am – 9:30pm,+919418080808,-,0,-,0
Pacific Food Paradise,"Sanjauli, Shimla","Chinese, North Indian",₹500 for two,https://www.zomato.com/shimla/pacific-food-paradise-sanjauli/info,Shimla,"31, Kairon Complex, Sanjauli, Shimla",9am – 10pm,+918219673228,-,0,-,0
Nibble Paradise,"Chakkar, Shimla",Chinese,₹300 for two,https://www.zomato.com/shimla/nibble-paradise-chakkar/info,Shimla,"Main Bazar, Bus Stand, Toru, Chakkar, Shimla",10am – 9:30pm,+919816017802,-,0,-,0
Amar Sons Refreshment,"Longwood, Shimla",North Indian,₹150 for two,https://www.zomato.com/shimla/amar-sons-refreshment-longwood/info,Shimla,"21/1, Lakkar Bazar, Longwood, Shimla",10am – 10pm,+919418798638,-,0,-,0
Saatvik Sweets,"Longwood, Shimla","Mithai, Desserts, Street Food",₹150 for two,https://www.zomato.com/shimla/saatvik-sweets-longwood/info,Shimla,"Near Lower Bazaar Tunnel, Longwood, Shimla",9am – 10pm,+911772656941,-,2,-,0
Khwaish Eat And Treat,"Chakkar, Shimla","Bakery, Beverages, Chinese, Fast Food",₹300 for two,https://www.zomato.com/shimla/khwaish-eat-and-treat-chakkar/info,Shimla,"Sarla Bhawan Kachighati, Near ICICI ATM, Chakkar, Shimla",9:30am – 8pm,+918988378622,-,0,-,0
Lord's Fast Food,"Kasumpti, Shimla","Fast Food, Chinese, Beverages",₹250 for two,https://www.zomato.com/shimla/lords-fast-food-kasumpti/info,Shimla,"Vishal Mega Mart, Chota Shimla, Near Summer Hill, Shimla, Kasumpti, Shimla",10am – 8pm,+918627048200,-,0,-,0
Quality Fast Food,"Sanjauli, Shimla",Chinese,₹150 for two,https://www.zomato.com/shimla/quality-fast-food-sanjauli/info,Shimla,"Cemetery Road, Sanjauli, Shimla",9am – 9pm,+918350989620,-,2,-,0
Pali Da Dhaba,"Longwood, Shimla",North Indian,₹500 for two,https://www.zomato.com/shimla/pali-da-dhaba-longwood/info,Shimla,"Local Bus Stand, Longwood, Shimla",10am – 11pm,"+911772651113,+918091413000",-,0,-,0
Hotel Ganga,"Longwood, Shimla","North Indian, Chinese",₹300 for two,https://www.zomato.com/shimla/hotel-ganga-longwood/info,Shimla,"Melrose Lodge Estate, Near Victory Tunnel, The Mall Road, Longwood, Shimla",9am – 10pm,"+911772652264,+917018500021",-,2,-,1
Mealstonecafe & Restaurant,"Sanjauli, Shimla","Fast Food, Chinese, North Indian, Mughlai, Desserts, Beverages",₹400 for two,https://www.zomato.com/shimla/mealstonecafe-restaurant-sanjauli/info,Shimla,"Kairon Building, Opposite Public Choice, Sanjauli, Shimla",11am – 11pm,+918341970000,-,0,-,0
Bhojan,"Phagli, Shimla",North Indian,₹200 for two,https://www.zomato.com/shimla/bhojan-phagli/info,Shimla,"Shop 14, Fay Lodge, Near Old Bus Stand, Phagli, Shimla",8am – 11pm,+911772806354,-,0,-,0
Hotel Nagsons,"Longwood, Shimla","North Indian, Chinese, Mughlai, Beverages",₹550 for two,https://www.zomato.com/shimla/hotel-nagsons-longwood/info,Shimla,"Hotel Dduz Hospital, Longwood, Shimla",9am – 11pm,+911772808114,-,0,-,0
