Restaurant_Name,Locality,Cuisines,Average_Cost_for_two,Restaurant_Url,City,Address,Available_Time,Contact_Number,Dining_Ratings,Dining_Votes,Delivery_Ratings,Delivery_Votes
KFC,"Bajaj Nagar, Nagpur","Burger, Fast Food, Biryani, Desserts, Beverages",₹400 for two,https://www.zomato.com/nagpur/kfc-bajaj-nagar/info,Nagpur,"Near Bhojraj Multipurpose Hall, Shraddhanand Peth, South Ambazari Road, Bajaj Nagar, Nagpur","12midnight – 1am, 11am – 12midnight","+918097412262,+919518918840",3.8,26,3.8,12.2K
Salt - All Day Brew,"Civil Lines, Nagpur","Chinese, North Indian, Mughlai, Biryani, Pizza, Sandwich, Fast Food","₹1,000 for two",https://www.zomato.com/nagpur/salt-all-day-brew-civil-lines/info,Nagpur,"Narang Tower, Civil Lines, Nagpur",12noon – 11:30pm,+919529493022,4.0,81,3.5,203
Yummi Momos,"Chaoni, Nagpur",Momos,₹200 for two,https://www.zomato.com/nagpur/yummi-momos-chaoni/info,Nagpur,"NH 47, Rajnagar, Chaoni, Nagpur",11am – 12midnight,+918600036140,4.0,17,4.0,"8,036"
Villa 167,"Hingna T Point, Nagpur","Cafe, Pasta, Beverages, Burger, Sandwich, Fast Food, Salad, Mithai",₹800 for two,https://www.zomato.com/nagpur/villa-167-hingna-t-point/info,Nagpur,"P 4, Seem Ring Road, Trimurti Nagar, Near Adhyapak Layout Takli, Hingna T Point, Nagpur",7am – 11pm,+917820883985,4.4,370,4.0,734
The Beer Cafe,"Ravi Nagar, Nagpur","Bar Food, Beverages","₹1,000 for two",https://www.zomato.com/nagpur/the-beer-cafe-ravi-nagar/info,Nagpur,"Plot 20, Gurushankar Apartment, Amravati Road, Ravi Nagar, Nagpur",1pm – 12midnight,+919209171268,4.2,26,-,0
Winq Cafe & Bistro,"Civil Lines, Nagpur","Cafe, Mediterranean, North Indian, Oriental, Italian, Mexican, Beverages, Desserts","₹1,000 for two",https://www.zomato.com/nagpur/winq-cafe-bistro-civil-lines/info,Nagpur,"Plot 56, Temple Road, Civil Lines, Nagpur",Opens tomorrow at 11am,"+919970165012,+918446500937",3.5,75,4.0,857
Cafe 8,"Hingna T Point, Nagpur","Pasta, Pizza, Sandwich, Burger, Fast Food, Street Food, Desserts, Beverages",₹500 for two,https://www.zomato.com/nagpur/cafe-8-3-hingna-t-point/info,Nagpur,"Plot 8, Kaalmegh Nagar, MAPL Company, Near CRPF Gate, Hingna T Point, Nagpur",Opens tomorrow at 10am,"+919503260337,+919131386500",3.8,269,3.8,"2,704"
The Chocolate Room,"Ravi Nagar, Nagpur","Cafe, Mexican, Italian, Desserts, Pizza, Continental, Sandwich, Shake",₹600 for two,https://www.zomato.com/nagpur/the-chocolate-room-ravi-nagar/info,Nagpur,"Plot 4 A, Gurushankar Apartment, Tilak Nagar, Near Ravi Nagar, Nagpur",11:30am – 11pm,+918975004138,4.5,152,4.0,"1,984"
Lord Of The Drinks,"Dharampeth, Nagpur","Bar Food, Italian, Fast Food, North Indian, Chinese, Desserts, Shake, Beverages","₹2,000 for two",https://www.zomato.com/nagpur/lord-of-the-drinks-dharampeth/info,Nagpur,"Ground Floor, Poonam Mall, VIP Road, Dharampeth, Nagpur",12noon – 12midnight,+919960379991,3.9,12,-,0
Sugar Quotes Cafe,"Wardhaman Nagar, Nagpur","Fast Food, Sandwich, Pizza, Burger","₹1,000 for two",https://www.zomato.com/nagpur/sugar-quotes-cafe-wardhaman-nagar/info,Nagpur,"8, Bhandara Road, Wardhaman Nagar, Nagpur",Opens tomorrow at 12noon,+917219783201,3.9,4,-,0
