Restaurant_Name,Locality,Cuisines,Average_Cost_for_two,Restaurant_Url,City,Address,Available_Time,Contact_Number,Dining_Ratings,Dining_Votes,Delivery_Ratings,Delivery_Votes
Moti Mahal Delux,"Nucleus Mall, Lalpur, Ranchi","North Indian, Mughlai, Biryani",₹400 for two,https://www.zomato.com/ranchi/moti-mahal-delux-lalpur/info,Ranchi,"Nucleus mall, Ranchi Urban 2, Lalpur, Ranchi",12noon – 10:30pm,+918880585842,3.7,12,4.0,"2,567"
Thai Tanic,"Upper Bazar, Ranchi","Chinese, Momos, Pasta, Rolls",₹350 for two,https://www.zomato.com/ranchi/thai-tanic-upper-bazar/info,Ranchi,"Manya Complex, Tel Mill Gali, Upper Bazar, Ranchi",10:45am – 11pm,+916200499660,-,1,4.0,11
Bharat Bakery,"Hindpiri, Ranchi","Bakery, Desserts",₹300 for two,https://www.zomato.com/ranchi/bharat-bakery-hindpiri/info,Ranchi,"Main Road, Hindpiri, Ranchi",9am – 10pm,+919234611215,4.1,237,4.1,"7,570"
Food Vatika The Family Restaurant,"Samlong, Ranchi","Chinese, Burger, Fast Food, Rolls",₹100 for two,https://www.zomato.com/ranchi/food-vatika-the-family-restaurant-samlong/info,Ranchi,"Lower Chutia, Samlong, Ranchi",11am – 10:30pm,+919709193978,-,3,3.5,241
Seventh Heaven,"Hindpiri, Ranchi","North Indian, South Indian, Chinese, Pizza, Beverages, Desserts",₹400 for two,https://www.zomato.com/ranchi/seventh-heaven-hindpiri/info,Ranchi,"1st Floor, Shrilok Complex, Near Santevita Hospital, 4, Hazaribagh Road, Tharpakna, Hindpiri, Ranchi",9am – 10pm,"+916512215990,+918207777900,+917654677131",4.2,612,4.3,"8,328"
0 Mile Restaurant,"Kokar, Ranchi","Chinese, Rolls",₹200 for two,https://www.zomato.com/ranchi/0-mile-restaurant-kokar/info,Ranchi,"Opposite Anita Store, Kokar Chowk, Kokar, Ranchi",11am – 11pm,+917633822304,-,1,-,0
The Cake Queens,"Kadru, Ranchi",Bakery,₹200 for two,https://www.zomato.com/ranchi/the-cake-queens-kadru/info,Ranchi,"Near Apna Super Mart, New AG Colony Road, Kadru, Ranchi",9:30am – 9:30pm,+919835907310,-,2,-,0
New Rajasthan Kalewalaya,"Lalpur, Ranchi","North Indian, South Indian, Chinese, Fast Food, Street Food, Desserts, Beverages",₹500 for two,https://www.zomato.com/ranchi/new-rajasthan-kalewalaya-lalpur/info,Ranchi,"Near Lalpur Chowk, Lalpur, Ranchi",8am – 10pm,"+919308306936,+917870157765",3.7,277,3.9,18.1K
The Pancake House,"Doranda, Ranchi","Pancake, Sandwich, Mexican, Wraps",₹150 for two,https://www.zomato.com/ranchi/the-pancake-house-1-doranda/info,Ranchi,"South Office Para, Doranda, Ranchi",5:30pm – 8pm,+919234608412,-,2,-,2
Never The Less,"Ashok Nagar, Ranchi","North Indian, Asian, Pizza, Fast Food, Continental, Biryani, Desserts, Beverages","₹1,200 for two",https://www.zomato.com/ranchi/never-the-less-ashok-nagar/info,Ranchi,"3rd Floor, H9, Harmu Housing Colony, Opposite HP Petrol Pump, Ashok Nagar, Ranchi",12:15pm – 11:15pm,+918877004404,-,0,4.1,131
Aditi Kitchen,"Hatia, Ranchi","North Indian, South Indian, Chinese",₹350 for two,https://www.zomato.com/ranchi/aditi-kitchen-hatia/info,Ranchi,"Shop B1, Ground Floor, Balku Complex, Singh More, Karma Chowk, Hatia, Ranchi",10am – 10pm,+918102714989,-,0,3.9,"1,127"
Go69 Pizza,"Hatia, Ranchi","Pizza, Fast Food",₹300 for two,https://www.zomato.com/ranchi/go69-pizza-hatia/info,Ranchi,"Road 11, Hawai Nagar, Near TI Samarth Diagnostic, Hatia, Ranchi",11am – 10pm,"+917282096969,+917282806969",3.9,77,3.9,"3,155"
Amigos The Lounge,"Ahirtoli, Ranchi","North Indian, Continental, Chinese, Fast Food, Beverages",₹600 for two,https://www.zomato.com/ranchi/amigos-the-lounge-ahirtoli/info,Ranchi,"301, Pustak Bhawan, Kutchery Road, Opposite Gopal Complex, Ahirtoli, Ranchi",1pm – 11pm,+919304819002,4.4,164,4.3,571
